,drug_name
7987,Hydrocort cream
7988,Hydrocortisone
7989,Hydrocortisone 1% In Absorbase
7990,Hydrocortisone topical
7991,Hydrocortisone with Aloe
7992,Hydrocortisone / iodoquinol topical
7993,Hydrocortisone / ketoconazole topical
7994,Hydrocortisone / lidocaine topical
7995,Hydrocortisone / neomycin / polymyxin b ophthalmic
7996,Hydrocortisone / neomycin / polymyxin b otic
7997,Hydrocortisone / neomycin / polymyxin b topical
7998,Hydrocortisone / pramoxine topical
7999,Hydrocortisone / salicylic acid / sulfur topical
8000,Hydrocortisone / urea topical
8001,Hydrocortone
8002,Hydrocortone Phosphate
8003,Hydrocream
8004,HydroDIURIL
8005,HydroFed
8006,Hydroflumethiazide
8007,Hydroflumethiazide / reserpine
8008,Hydrogen peroxide topical
8009,Hydrogesic
8010,Hydrolatum
8011,Hydromet
8012,Hydromide
8013,Hydromorph Contin
8014,Hydromorphone
8015,Hydron CP
8016,Hydron PCS
8017,Hydropane
8018,Hydropel
8019,Hydrophil Ointment
8020,Hydrophor
8021,Hydrophylic GRX
8022,Hydropram
8023,Hydropres-25
8024,Hydropres-50
8025,Hydroquinone and Sunscreen
8026,Hydroquinone topical
8027,Hydroserp
8028,Hydroserpine
8029,Hydroserpine 1
8030,Hydrostat IR
8031,Hydrotropine
8032,Hydrotuss
8033,Hydrotuss HC
8034,Hydrotussin HD
8035,Hydroxocobalamin
8036,Hydroxy-Cobal
8037,Hydroxyamphetamine / tropicamide ophthalmic
8038,Hydroxychloroquine
8039,Hydroxyethyl starch
8040,Hydroxyprogesterone
8041,Hydroxypropyl methylcellulose ophthalmic
8042,Hydroxyquinoline topical
8043,Hydroxyurea
8044,Hydroxyzine
8045,Hyflex-650
8046,Hyflex-DS
8047,Hygenic Cleansing Pad
8048,Hygroton
8049,Hylafem
8050,Hylan g-f 20
8051,Hylase Wound Gel
8052,Hylatopic
8053,Hylatopic Plus Aurstat
8054,HylatopicPlus
8055,HylatopicPlus Emollient Foam
8056,Hylavite
8057,HylaZinc
8058,Hylenex
8059,Hylinate
8060,Hylira
8061,Hylorel
8062,Hylutin
8063,Hymovis
8064,Hyolev MB
8065,HyoMax
8066,HyoMax DT
8067,HyoMax FT
8068,HyoMax SL
8069,HyoMax SR
8070,Hyophen
8071,Hyoscyamine
8072,Hyoscyamine / methenamine / methylene blue / phenyl salicylate / sodium biphosphate
8073,Hyoscyamine / methenamine / methylene blue / sodium biphosphate
8074,Hyoscyamine / phenyltoloxamine
8075,Hyosol
8076,Hyosophen
8077,Hyospaz
8078,Hyosyne
8079,Hypaque
8080,Hypaque Cysto
8081,Hypaque Meglumine
8082,Hypaque Sodium
8083,Hypaque-76
8084,Hypaque-M
8085,Hyper-Sal
8086,Hyper-Tet
8087,Hypercare
8088,Hyperhep
8089,Hyperhep B
8090,Hyperlyte
8091,Hyperlyte CR
8092,Hyperlyte R
8093,HyperRAB S / D
8094,HyperRHO S / D Full Dose
8095,HyperRHO S / D Mini-Dose
8096,Hyperstat
8097,Hyperstat IV
8098,HyperTET S / D
8099,Hyphed
8100,Hyphen-HD
8101,Hypotears
8102,Hypotears P / F
8103,Hypotears Select
8104,Hypotonic Tears
8105,HypRho-D Mini-Dose
8106,Hyprogesterone
8107,Hyqvia
8108,Hyrexin
8109,Hyrimoz
8110,Hysept
8111,Hysingla ER
8112,Hyskon
8113,Hysone
8114,Hytakerol
8115,HyTan
8116,Hytinic
8117,Hytone
8118,Hytrin
8119,Hytuss
8120,Hytussin
8121,Hytussin Expectorant
8122,HyVee Health 8 Hour Pain Relief
8123,Hyzaar
8124,Hyzine
8125,I-Fol Plus
8126,I-L-X
8127,I-L-X and B12
8128,I-Sense
8129,I-Sense OccuShield
8130,I-Vite
8131,I-Vite Protect
8132,I3odine Max
8133,Iamin Hydrating Gel
8134,IB-Stat
8135,Ibalizumab
8136,Ibandronate
8137,IBC 500
8138,Iberet
8139,Iberet Liquid
8140,Iberet-500
8141,Iberet-Folic-500
8142,Ibrance
8143,Ibrexafungerp
8144,Ibritumomab
8145,Ibrutinib
8146,Ibsrela
8147,IBU
8148,IBU-200
8149,Ibu-4
8150,Ibu-6
8151,Ibu-8
8152,Ibu-Tab
8153,Ibudone
8154,Ibuprofen
8155,Ibuprofen PM
8156,Ibuprofen PMR
8157,Ibuprofen / oxycodone
8158,Ibuprofen / phenylephrine
8159,Ibuprofen / pseudoephedrine
8160,Ibutilide
8161,IC-Green
8162,Icaps
8163,ICaps AREDS
8164,ICaps AREDS 2
8165,ICaps Lutein & Omega-3
8166,ICaps MV
8167,ICaps Plus
8168,Icaps TR
8169,ICaps with Lutein and Zeaxan
8170,ICaps with Lutein and Zeaxanthin
8171,Icar
8172,Icar Prenatal
8173,Icar Prenatal Chewable Calcium
8174,Icar Prenatal Essential Omega-3
8175,Icar-C
8176,Icar-C Plus
8177,Icar-C Plus SR
8178,Icare Prenatal Rx
8179,Icatibant
8180,Iclevia
8181,Iclusig
8182,ICN Paracetamol
8183,Icosapent
8184,Icy Hot Advanced Relief Pain Relief Cream
8185,Icy Hot Advanced Relief Pain Relief Patch
8186,Icy Hot Extra Strength
8187,Icy Hot Lidocaine
8188,Icy Hot Medicated Micro Patch
8189,Icy Hot Medicated No Mess Applicator
8190,Icy Hot Medicated Patch
8191,Icy Hot Medicated Sleeve
8192,Icy Hot Medicated Spray
8193,Icy Hot Pain Relieving Balm
8194,Icy Hot Pain Relieving Cream
8195,Icy Hot Pain Relieving Stick
8196,Icy Hot PM Lotion
8197,Icy Hot PM Patch
8198,Icy Hot Power Gel
8199,Icy Hot Roll
8200,Icy Hot Vanishing Scent Pain Relieving Gel
8201,IDA
8202,Idamycin
8203,Idamycin PFS
8204,Idarubicin
8205,Idarucizumab
8206,Ide-cet
8207,Idecabtagene vicleucel
8208,Idelalisib
8209,Idelvion
8210,Idenal
8211,Idhifa
8212,Idursulfase
8213,Iferex 150
8214,Iferex 150 Forte
8215,Ifex
8216,Ifex / Mesnex
8217,Ifosfamide
8218,Ifosfamide / mesna
8219,Ilaris
8220,Iletin II Lente Pork
8221,Iletin II NPH Pork
8222,Iletin II Regular Pork
8223,Iletin Lente
8224,Iletin NPH
8225,Iletin Regular
8226,Ilevro
8227,Ilex
8228,Ilex Skin Protectant
8229,Ilopan
8230,Iloperidone
8231,Iloprost
8232,Ilosone
8233,Ilotycin
8234,Ilozyme
8235,Ilumya
8236,Iluvien
8237,Imatinib
8238,Imbruvica
8239,Imcivree
8240,Imdur
8241,Imfinzi
8242,Imiglucerase
8243,Imipramine
8244,Imiquimod topical
8245,Imitrex
8246,Imitrex Nasal
8247,Imitrex Statdose
8248,Imlygic
8249,Immune globulin intramuscular
8250,Immune globulin intravenous
8251,Immune globulin intravenous and subcutaneous
8252,Immune globulin subcutaneous
8253,Imodium
8254,Imodium A-D
8255,Imodium Multi-Symptom Relief
8256,Imogam Rabies-HT
8257,Imotil
8258,Imovax Rabies
8259,Impavido
8260,Impeklo
8261,Implanon
8262,Impoyz
8263,ImproVue
8264,Impruv
8265,Imuran
8266,Imvexxy
8267,In-111 Zevalin
8268,Inamrinone
8269,Inapsine
8270,Inatal Advance
8271,Inatal Ultra
8272,Inavix
8273,Inbrija
8274,Incassia
8275,Incivek
8276,IncobotulinumtoxinA
8277,Increlex
8278,Incruse Ellipta
8279,Indacaterol
8280,Indapamide
8281,Inderal
8282,Inderal LA
8283,Inderal XL
8284,Inderide
8285,Inderide LA
8286,Indinavir
8287,Indiomin MB
8288,Indium In-111 DTPA
8289,Indium oxyquinoline in-111
8290,Indium pentetate in-111
8291,Indium pentetreotide in-111
8292,Indocin
8293,Indocin IV
8294,Indocin SR
8295,Indocyanine green
8296,Indomethacin
8297,Inebilizumab
8298,Infadrops
8299,Infalyte
8300,Infanate DHA
8301,Infanrix (DTaP)
8302,Infant's Tylenol
8303,Infantaire Drops
8304,Infantaire Gas Relief
8305,Infasurf
8306,Infed
8307,Infergen
8308,Infigratinib
8309,Inflamase Forte
8310,Inflamase Mild
8311,Inflectra
8312,Infliximab
8313,"Influenza virus vaccine, h1n1, inactivated"
8314,"Influenza virus vaccine, h1n1, live"
8315,"Influenza virus vaccine, h5n1"
8316,"Influenza virus vaccine, inactivated"
8317,"Influenza virus vaccine, live, trivalent"
8318,Infugem
8319,Infumorph
8320,Infuvite
8321,Infuvite Pediatric
8322,Ingenol topical
8323,Ingrezza
8324,Injectafer
8325,Inlyta
8326,Innerclean
8327,Innohep
8328,InnoPran XL
8329,Inocor I V
8330,INOmax
8331,Inositech
8332,Inositol
8333,Inotersen
8334,Inotuzumab ozogamicin
8335,Inova
8336,Inova 4 / 1
8337,Inova 8 / 2
8338,Inpersol
8339,Inpersol with 1.5% Dextrose
8340,Inpersol with 2.5% Dextrose
8341,Inpersol with 4.25% Dextrose
8342,Inpersol-LM
8343,Inqovi
8344,Inrebic
8345,Inspra
8346,Insta-Char
8347,Insta-Char with Sorbitol
8348,Insta-Glucose
8349,Instacort
8350,Instacort 10
8351,Instant Hand Sanitizer
8352,Instant Ice
8353,Insulin
8354,Insulin aspart
8355,Insulin aspart / insulin aspart protamine
8356,Insulin aspart / insulin degludec
8357,Insulin degludec
8358,Insulin degludec / liraglutide
8359,Insulin detemir
8360,Insulin glargine
8361,Insulin glargine / lixisenatide
8362,Insulin glulisine
8363,"Insulin inhalation, rapid acting"
8364,Insulin isophane
8365,Insulin isophane / insulin regular
8366,Insulin lispro
8367,Insulin lispro / insulin lispro protamine
8368,Insulin Purified NPH Pork
8369,Insulin regular
8370,Insulin zinc
8371,Insulin zinc extended
8372,Intal
8373,Intal Inhaler
8374,Integra
8375,Integra F
8376,Integra Plus
8377,Integrilin
8378,Intelence
8379,Interferon alfa-2a
8380,Interferon alfa-2b
8381,Interferon alfa-2b / ribavirin
8382,Interferon alfa-n3
8383,Interferon alfacon-1
8384,Interferon beta-1a
8385,Interferon beta-1b
8386,Interferon gamma-1b
8387,Intermezzo
8388,Intestinex
8389,Intralipid
8390,Intrarosa
8391,Intravenous electrolyte solution
8392,Intrinsitinic
8393,Intron A
8394,Intropaste
8395,Intropin
8396,Introvale
8397,Intuniv
8398,Invanz
8399,Invega
8400,Invega Hafyera
8401,Invega Sustenna
8402,Invega Trinza
8403,Inveltys
8404,Inversine
8405,Invirase
8406,Invokamet
8407,Invokamet XR
8408,Invokana
8409,Iobenguane I 123
8410,Iobenguane I 131
8411,Iobid DM
8412,Iodal HD
8413,Iodex
8414,Iodides
8415,Iodinated i 131 albumin
8416,Iodine Mild
8417,Iodine povacrylex / isopropyl alcohol topical
8418,Iodine Tincture
8419,Iodine Tincture Decolorized
8420,Iodine topical
8421,Iodine / potassium iodide
8422,Iodixanol
8423,Iodo-HC
8424,Iodoflex
8425,Iodopen
8426,Iodoquinol
8427,Iodosorb
8428,Iodotope
8429,Iodrol NR
8430,Iofed
8431,Iofed PD
8432,Iofen
8433,Iofen-DM NF
8434,Iofen-NF
8435,Ioflupane I 123
8436,Iohexol
8437,Ionamin
8438,Ionax
8439,Ionil Plus
8440,Ionil Shampoo
8441,Ionil T
8442,Ionil T Plus
8443,Ionite APF Foam
8444,Ionite APF Gel
8445,Ionite H
8446,Ionite R
8447,Ionsys
8448,Iopamidol
8449,Iopamidol-370
8450,Iophen
8451,Iophen DM
8452,Iophen DM NR
8453,Iophen NR
8454,Iophen-C NR
8455,Iopidine
8456,Iopromide
8457,Iosal II
8458,Iosat
8459,Iosopan
8460,Iotex PSE
8461,Iothalamate
8462,Iotussin D Liquid
8463,Iotussin HC
8464,Ioversol
8465,Ioxaglate
8466,Ioxilan
8467,Ipecac
8468,Ipilimumab
8469,IPlex
8470,IPM Wound
8471,Ipol
8472,Ipratropium
8473,Ipratropium Inhalation Aerosol
8474,Ipratropium Inhalation Solution
8475,Ipratropium nasal
8476,Iprivask
8477,Iquix
8478,Irbesartan
8479,Ircon
8480,Ircon-FA
8481,Irenka
8482,Iressa
8483,Irinotecan
8484,Irinotecan liposomal
8485,Iro-Plex
8486,Irofol
8487,Iromin G
8488,Iron 100 Plus
8489,Iron Chews
8490,Iron Chews Pediatric
8491,Iron dextran
8492,Iron Fumarate
8493,Iron Gluconate
8494,Iron polysaccharide
8495,Iron protein succinylate
8496,Iron sucrose
8497,Iron Sulfate
8498,Iron-150
8499,Irospan 24 / 6
8500,Isagel
8501,Isatuximab
8502,Isavuconazonium
8503,ISDN
8504,Isentress
8505,Isentress HD
8506,Isibloom
8507,Ismelin
8508,Ismo
8509,Iso-Acetazone
8510,Isocaine
8511,Isocarboxazid
8512,Isocet
8513,Isochron
8514,Isocom
8515,Isodettes
8516,IsoDitrate
8517,Isoflurane
8518,Isoject Permapen
8519,Isolyte S
8520,Isolyte S and 5% Dextrose
8521,Isolyte S PH 7.4
8522,IsonaRif
8523,Isoniazid
8524,Isoniazid / pyrazinamide / rifampin
8525,Isoniazid / rifampin
8526,Isophen-DF
8527,Isopropyl alcohol otic
8528,Isopropyl alcohol topical
8529,Isoproterenol
8530,Isoptin
8531,Isoptin IV
8532,Isoptin SR
8533,Isopto Alkaline
8534,Isopto Atropine
8535,Isopto Carbachol
8536,Isopto Carpine
8537,Isopto Cetamide
8538,Isopto Cetapred
8539,Isopto Frin
8540,Isopto Homatropine
8541,Isopto Plain
8542,Isopto Tears
8543,Isordil
8544,Isordil Tembids
8545,Isordil Titradose
8546,Isosorbide dinitrate
8547,Isosorbide mononitrate
8548,Isosulfan blue
8549,Isotretinoin
8550,Isovue-128
8551,Isovue-200
8552,Isovue-250
8553,Isovue-300
8554,Isovue-370
8555,Isovue-M-200
8556,Isovue-M-300
8557,Isoxsuprine
8558,Isradipine
8559,Istalol
8560,Istodax
8561,Istradefylline
8562,Isturisa
8563,Isuprel
8564,Isuprel Mistometer
8565,Itch Relief
8566,Itch-X
8567,Itch-X Lotion
8568,Itraconazole
8569,Ivabradine
8570,Ivacaftor
8571,Ivacaftor / lumacaftor
8572,Ivacaftor / tezacaftor
8573,IvDerm
8574,Iveegam En
8575,Ivermectin
8576,Ivermectin topical
8577,Ivites Rx
8578,Ivocort
8579,Ivosidenib
8580,Ivy-Dry Cream
8581,Ivy-Dry Super
8582,IvyBlock
8583,Ixabepilone
8584,Ixazomib
8585,Ixekizumab
8586,Ixempra
8587,Ixiaro
8588,Ixifi
8589,Ixinity
8590,Izba
8591,J-Max
8592,J-Tan
8593,J-Tan D
8594,J-Tan D HC
8595,J-Tan D SR
8596,J-Tan PD
8597,J-TanD PD
8598,Jack & Jill Thin Strips Cough
8599,Jackson's Extra Strength All Fours
8600,Jackson's The Original All Fours
8601,Jadenu
8602,Jadenu Sprinkle
8603,Jaimiess
8604,Jakafi
8605,Jalyn
8606,James Dean Pharmacy Paracetamol
8607,Janssen COVID-19 Vaccine
8608,Jantoven
8609,Janumet
8610,Janumet XR
8611,Januvia
8612,"Japanese enceph vacc sa14-14-2, inactivated"
8613,Japanese encephalitis virus vaccine nakayama
8614,Jardiance
8615,Jasmiel
8616,Jatenzo
8617,Jay-Phyl
8618,JayCof-HC
8619,Je-Vax
8620,Jelmyto
8621,Jemperli
8622,Jencycla
8623,Jenest
8624,Jenloga
8625,Jentadueto
8626,Jentadueto XR
8627,Jergens
8628,Jet Alert Double Strength
8629,Jet Alert Maximum Strength
8630,Jet Alert Regular Strength
8631,Jetepar
8632,Jetrea
8633,Jeuveau
8634,Jevantique
8635,Jevantique Lo
8636,Jevtana
8637,Jinteli
8638,Jivi
8639,JL Bragg's Medicinal Charcoal
8640,Johnson's Baby Cream
8641,Johnsons Diaper Rash
8642,Jolessa
8643,Jolivette
8644,Jornay PM
8645,Jr. Tylenol
8646,Jublia
8647,Juleber
8648,Juluca
8649,Jumex
8650,Junel 1.5 / 30
8651,Junel 1 / 20
8652,Junel Fe 1.5 / 30
8653,Junel Fe 1 / 20
8654,Junel Fe 24
8655,Junior Meltus Chesty Coughs with Catarrh
8656,Junior Meltus Colour and Sugar Free Expectorant
8657,Juulissa Pharmapak
8658,Juvisync
8659,Juxtapid
8660,Jynarque
8661,K + Potassium
8662,K-10
8663,K-8
8664,K-Dur
8665,K-Dur 10
8666,K-Dur 20
8667,K-Effervescent
8668,K-Lor
8669,K-Lyte
8670,K-Lyte DS
8671,K-Lyte / Cl
8672,K-Lyte / Cl 25
8673,K-Lyte / Cl 50
8674,K-Norm
8675,K-Pec
8676,K-Pek
8677,K-Phos M.F.
8678,K-Phos Neutral
8679,K-Phos No. 2
8680,K-Phos Original
8681,K-Sol
8682,K-Tab
8683,K-Tan
8684,K-Tan 4
8685,K-vescent
8686,K-Vescent (Potassium Chloride)
8687,K-Y Jelly
8688,K-Y Plus Nonoxynol 9
8689,K-Y Sensual Mist
8690,K-Y Silk-E Vaginal Moisturizer
8691,K-Y Warming
8692,K+Care
8693,K+Care ET
8694,K2 Plus D3
8695,K2K Patch
8696,Ka-Pec
8697,Kabikinase
8698,Kabiven
8699,Kadcyla
8700,Kadian
8701,Kaitlib Fe
8702,Kal Potassium 99
8703,Kalbitor
8704,Kalcinate
8705,Kaletra
8706,Kalexate
8707,Kalliga
8708,Kalmz
8709,Kalosar
8710,Kalydeco
8711,Kanamycin
8712,Kanjinti
8713,Kank-a
8714,Kantrex
8715,Kanuma
8716,Kao Lectrolyte
8717,Kao-Paverin
8718,Kao-Pulgite
8719,Kao-Tin
8720,Kao-Tin Advanced Formula
8721,Kao-Tin Bismuth Subsalicylate Formula
8722,Kaochlor
8723,Kaochlor S-F
8724,Kaon
8725,Kaon-CI
8726,Kaon-CL 10
8727,Kaon-CL 20%
8728,Kaopectate
8729,Kaopectate 1-D
8730,Kaopectate Anti-Diarrheal Upset Stomach Reliever
8731,Kaopectate Caplets
8732,Kaopectate Extra Strength
8733,Kaopectate II
8734,Kaopectate Stool Softener
8735,Kaopek
8736,Kapectolin (New Formula)
8737,Kapidex
8738,Kapspargo Sprinkle
8739,Kapvay
8740,Karbinal ER
8741,Karbons
8742,Karidium
8743,Kariva
8744,Kasof
8745,Katerzia
8746,Kato
8747,Kaxm
8748,Kay Ciel
8749,Kayexalate
8750,Kazano
8751,Kcentra
8752,KCl
8753,Kedbumin
8754,KedRAB
8755,Keep Alert
8756,Keep Going
8757,Keflex
8758,Keflin
8759,Keftab
8760,Kefurox
8761,Kefzol
8762,Keido
8763,Kelnor 1 / 35
8764,Kelnor 1 / 50
8765,Kemadrin
8766,Kemeya
8767,Kemstro
8768,Ken-Jec 40
8769,Kenaject-40
8770,Kenalog
8771,Kenalog in Orabase
8772,Kenalog-10
8773,Kenalog-40
8774,Kengreal
8775,Kenkay Chesty Cough Eexpectorant
8776,Kenwood Therapeutic
8777,Kepivance
8778,Keppra
8779,Keppra XR
8780,Kera Nail
8781,Kera-42
8782,Kerafoam
8783,Keralac
8784,Keralac Nail
8785,Keralac Nailstik
8786,Keralyt Scalp
8787,Keralyt Shampoo
8788,KeralytGel
8789,Kerasal
8790,Kerasal AL
8791,Kerasal Ultra 20
8792,Keratol
8793,Keratol 40
8794,Keratol 45
8795,Keratol HC
8796,Kerendia
8797,Keri Advanced Therapy
8798,Keri Lotion
8799,Keri Original Therapy
8800,Keri Sensitive Skin
8801,Kerlone
8802,Kerodex-51
8803,Kerodex-71
8804,Kerol
8805,Kerol AD
8806,Kerol Redi-Cloths
8807,Kerol ZX
8808,Kerydin
8809,Kesimpta
8810,Ketalar
8811,Ketamine
8812,Ketek
8813,Ketek Pak
8814,Ketocon+Plus
8815,Ketoconazole
8816,Ketoconazole topical
8817,Ketoconazole / pyrithione zinc topical
8818,Ketodan
8819,Ketoprofen
8820,Ketorolac
8821,Ketorolac ophthalmic
8822,Ketorolac / phenylephrine ophthalmic
8823,Ketotifen ophthalmic
8824,Keveyis
8825,Kevzara
8826,Kexm
8827,Key-Pred
8828,Key-Pred SP
8829,Keytruda
8830,KG-Dal HD
8831,KG-Dal HD Plus
8832,KG-Fed
8833,KG-Fed Expectorant
8834,KG-Fed Pediatric Expectorant
8835,KG-Tuss HD
8836,KG-Tussin
8837,Khapzory
8838,Khedezla
8839,Kid Kare Drops
8840,Kidcare Cough and Cold
8841,Kidkare Cough / Cold
8842,Kimidess
8843,Kimyrsa
8844,Kinderlyte
8845,Kinerase
8846,Kineret
8847,Kinesed
8848,Kinevac
8849,Kinlytic
8850,Kinrix
8851,Kionex
8852,Kisqali
8853,Kisqali Femara Co-Pack
8854,Kita La Tos
8855,Kitabis Pak
8856,Klaron
8857,Klerist-D
8858,Klisyri
8859,Klofensaid II
8860,Klonopin
8861,Klonopin Wafer
8862,Klor-Con
8863,Klor-Con 10
8864,Klor-Con 8
8865,Klor-Con M10
8866,Klor-Con M15
8867,Klor-Con M20
8868,Klor-Con Sprinkle
8869,Klor-Con / 25
8870,Klor-Con / EF
8871,Klorvess
8872,Klorvess Effervescent
8873,Klotrix
8874,Klout
8875,Kloxxado
8876,KneeRelief
8877,Koate
8878,Koate-DVI
8879,Koate-HP
8880,Kogenate
8881,Kogenate Bayer
8882,Kogenate FS
8883,Kogenate FS with Bioset
8884,Kola-Pectin DS
8885,Koldets Cough Drops
8886,Kolephrin GG / DM
8887,Kolnatal DHA
8888,Kombiglyze XR
8889,Konakion
8890,Kondremul
8891,Kondremul Plain
8892,Konsyl
8893,Konsyl Daily Fiber Therapy
8894,Konsyl for Kids
8895,Konsyl Orange Sugar-free
8896,Konsyl-D
8897,Konsyl-Orange
8898,Konyne 80
8899,Korlym
8900,Koromex
8901,Koromex Contraceptive
8902,Koromex Cream
8903,Koromex Crystal Clear Gel
8904,Korsuva
8905,Koselugo
8906,Kovaltry
8907,Kovia
8908,Kovia 6.5
8909,Krintafel
8910,Kristalose
8911,Kronofed-A
8912,Kronofed-A-Jr
8913,Krystexxa
8914,KS Aller-Tec D-12
8915,Ku-Zyme
8916,Ku-Zyme HP
8917,Kuric
8918,Kurvelo
8919,Kutea
8920,Kutrase
8921,Kuvan
8922,Kuxm
8923,Kwelcof
8924,Kybella
8925,Kyleena
8926,Kymriah
8927,Kynamro
8928,Kynmobi
8929,Kyprolis
8930,Kyra
8931,Kytril
8932,L Thyroxine Roche
8933,L-Arginine
8934,L-Caine
8935,L-Carnitine
8936,L-Cysteine
8937,L-Formula
8938,L-Lysine
8939,L-Methyl-B6-B12
8940,L-Methyl-MC
8941,L-Methyl-MC NAC
8942,L-methylfolate
8943,"L-methylfolate Ca, Me-Cbl NAC"
8944,"L-methylfolate Ca, P-5-P, Me-Cbl"
8945,L-Methylfolate Formula
8946,L-Methylfolate Forte
8947,L-Mycin
8948,L-Tonic
8949,L-Tyrosine
8950,L'il Critters Gummy Vites
8951,LA Nasal Decongestant
8952,LA-12
8953,Labetalol
8954,Lac-Dose
8955,Lac-Hydrin
8956,Lac-Hydrin 5
8957,Lacellate
8958,Laclotion
8959,Lacosamide
8960,Lacri-Lube S.O.P.
8961,Lacrisert
8962,Lactaid
8963,Lactaid Extra Strength
8964,Lactaid Fast Act
8965,Lactaid Ultra
8966,Lactase
8967,Lactase Extra Strength
8968,Lactated Ringers Injection
8969,Lactic acid / urea topical
8970,Lacticare-HC
8971,Lactinex
8972,Lactitol
8973,Lacto-Key-600
8974,Lactobacillus
8975,Lactobacillus acidophilus
8976,Lactobacillus acidophilus / lactobacillus bulgaricus
8977,Lactobacillus rhamnosus gg
8978,Lactocal-F
8979,Lactrase
8980,Lactulose
8981,Lafayette
8982,Lagesic
8983,Lamictal
8984,Lamictal CD
8985,Lamictal ODT
8986,Lamictal XR
8987,Lamisil
8988,Lamisil AF Defense
8989,Lamisil AT
8990,Lamisil AT Cream
8991,Lamisil AT Cream for Jock Itch
8992,Lamisil AT Spray
8993,Lamisil AT Spray for Jock Itch
8994,Lamisil Once
8995,Lamisil Solution
8996,Lamisilk Heel Balm
8997,Lamivudine
8998,Lamivudine / tenofovir
8999,Lamivudine / zidovudine
9000,Lamotrigine
9001,Lampit
9002,Lamprene
9003,Lan-O-Soothe
9004,Lanabiotic
9005,Lanacane
9006,Lanadelumab
9007,Lanaphilic
9008,Lanaphilic with Urea
9009,Laniroif
9010,Lanolin Hydrous
9011,Lanolin topical
9012,Lanolor Cream
9013,Lanoxicaps
9014,Lanoxin
9015,Lanreotide
9016,Lansinoh for Breast Feeding Mothers
9017,Lansinoh for Healthy Feet
9018,Lansoprazole
9019,Lansoprazole / naproxen
9020,Lantex-LA
9021,Lanthanum carbonate
9022,Lantiseptic
9023,Lantiseptic CaldaZinc Ointment
9024,Lantiseptic Dry Skin Therapy
9025,Lantiseptic Nourishing Skin Cream
9026,Lantiseptic Original Skin Protectant
9027,Lantiseptic Protective Ointment
9028,Lantus
9029,Lantus OptiClik Cartridge
9030,Lantus SoloStar
9031,Lapase
9032,Lapatinib
9033,Larapam SR
9034,Lariam
9035,Larin 1.5 / 30
9036,Larin 1 / 20
9037,Larin 24 Fe
9038,Larin Fe 1.5 / 30
9039,Larin Fe 1 / 20
9040,Larissia
9041,LarkaDrin
9042,Larobec
9043,Larodopa
9044,Laronidase
9045,Larotrectinib
9046,Lartruvo
9047,Laryng-O-Jet Spray
9048,Laryngesic
9049,Lasix
9050,Lasmiditan
9051,Lassars Zinc
9052,Lastacaft
9053,Latanoprost ophthalmic
9054,Latanoprost / netarsudil ophthalmic
9055,Latanoprost / timolol ophthalmic
9056,Latanoprostene bunod ophthalmic
9057,Latisse
9058,Latrix
9059,Latuda
9060,Lavacol
9061,Lavoclen-4
9062,Lavoclen-4 Creamy Wash
9063,Lavoclen-8
9064,Lavoclen-8 Creamy Wash
9065,Laxacin
9066,Laxative Gentle Suppositories
9067,Laxative Natural
9068,Laxmar
9069,Laxmar Orange
9070,Laxmar Sugar Free
9071,Layolis Fe
9072,Lazanda
9073,Lazer Creme
9074,Lazerformalyde
9075,Leader 8 Hour Pain Reliever
9076,Leader Allergy Relief D-24
9077,Leader Allerhist
9078,Leader Finger Cream
9079,Leader Heartburn Relief
9080,Leader Lice Solution
9081,Leader Naproxen Sodium
9082,Leader Nicotine Polacrilex
9083,Leader Quick Dissolve Strawberries & Cream
9084,Lecithin
9085,Lecithin Natural
9086,Lecithin-Softgels
9087,Ledercillin VK
9088,Ledipasvir / sofosbuvir
9089,Leena
9090,Lefamulin
9091,Leflunomide
9092,Leg-Gesic
9093,Legatrin PM
9094,Lemborexant
9095,Lemsip Childrens Cold & Flu
9096,Lemsip Cold and Flu Liquid Capsule
9097,Lemsip Cough Chesty
9098,Lemsip Headcold
9099,Lemsip Max
9100,Lemsip Original
9101,Lemsip Pharmacy Non-Decongestant Formula
9102,Lemtrada
9103,Lenalidomide
9104,Lente Iletin II
9105,Lenvatinib
9106,Lenvima
9107,LenzaGel
9108,LenzaPatch
9109,Lepirudin
9110,Leribane
9111,Lescol
9112,Lescol XL
9113,Lesinurad
9114,Lessina
9115,Let Me Clarify Gel
9116,Letairis
9117,Letermovir
9118,Letrozole
9119,Letrozole / ribociclib
9120,Leucovorin
9121,Leukeran
9122,Leukine
9123,Leuprolide
9124,Leuprolide / norethindrone
9125,Leustatin
9126,Leva Set
9127,Levacet
9128,Levalbuterol
9129,Levall
9130,Levall 5.0
9131,Levall G
9132,Levamisole
9133,Levamlodipine
9134,Levaquin
9135,Levaquin Leva-Pak
9136,Levatio Patch
9137,Levatol
9138,Levbid
9139,Levemir
9140,Levetiracetam
9141,Levitra
9142,Levlen
9143,Levlite
9144,Levo-Dromoran
9145,Levo-T
9146,Levobetaxolol ophthalmic
9147,Levobunolol ophthalmic
9148,Levocabastine ophthalmic
9149,Levocarnitine
9150,Levocetirizine
9151,Levodopa
9152,Levofloxacin
9153,Levofloxacin ophthalmic
9154,Levoleucovorin
9155,Levomefolate Calcium-Algal Powder
9156,Levomefolate DHA
9157,LevomefolatePNV
9158,Levomilnacipran
9159,Levonest
